Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
01-01-2025,AQS,340030010,1,30.1,ppb,28,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
02-01-2025,AQS,340030010,1,11,ppb,10,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
03-01-2025,AQS,340030010,1,23.9,ppb,22,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
04-01-2025,AQS,340030010,1,12.5,ppb,11,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
05-01-2025,AQS,340030010,1,23.2,ppb,22,Fort Lee Near Road,21,88,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
06-01-2025,AQS,340030010,1,42.9,ppb,40,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
07-01-2025,AQS,340030010,1,18.4,ppb,17,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
08-01-2025,AQS,340030010,1,17,ppb,16,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
09-01-2025,AQS,340030010,1,17.8,ppb,16,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
10-01-2025,AQS,340030010,1,29.3,ppb,27,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
11-01-2025,AQS,340030010,1,39.1,ppb,37,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
12-01-2025,AQS,340030010,1,38.6,ppb,36,Fort Lee Near Road,21,88,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
13-01-2025,AQS,340030010,1,41.5,ppb,39,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
14-01-2025,AQS,340030010,1,27.5,ppb,25,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
15-01-2025,AQS,340030010,1,31.8,ppb,29,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
16-01-2025,AQS,340030010,1,35,ppb,33,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
17-01-2025,AQS,340030010,1,40.8,ppb,38,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
18-01-2025,AQS,340030010,1,39,ppb,37,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
19-01-2025,AQS,340030010,1,24.7,ppb,23,Fort Lee Near Road,21,88,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
20-01-2025,AQS,340030010,1,25,ppb,24,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
21-01-2025,AQS,340030010,1,31.7,ppb,29,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
22-01-2025,AQS,340030010,1,39.3,ppb,37,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
23-01-2025,AQS,340030010,1,51.5,ppb,48,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
24-01-2025,AQS,340030010,1,43.7,ppb,41,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
25-01-2025,AQS,340030010,1,45.9,ppb,42,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
26-01-2025,AQS,340030010,1,45,ppb,42,Fort Lee Near Road,21,88,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
27-01-2025,AQS,340030010,1,44.1,ppb,42,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
28-01-2025,AQS,340030010,1,51.3,ppb,48,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
29-01-2025,AQS,340030010,1,42.8,ppb,40,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
30-01-2025,AQS,340030010,1,31.6,ppb,29,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
31-01-2025,AQS,340030010,1,46.5,ppb,43,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
01-02-2025,AQS,340030010,1,31.2,ppb,29,Fort Lee Near Road,24,100,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
02-02-2025,AQS,340030010,1,40.6,ppb,38,Fort Lee Near Road,21,88,42602,Nitrogen dioxide (NO2),74,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
