Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
01-01-2025,AQS,340273001,1,4.7,ppb,4,Chester,24,100,42602,Nitrogen dioxide (NO2),99,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
02-01-2025,AQS,340273001,1,2,ppb,2,Chester,24,100,42602,Nitrogen dioxide (NO2),99,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
03-01-2025,AQS,340273001,1,5,ppb,5,Chester,24,100,42602,Nitrogen dioxide (NO2),99,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
04-01-2025,AQS,340273001,1,2.1,ppb,2,Chester,24,100,42602,Nitrogen dioxide (NO2),99,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
05-01-2025,AQS,340273001,1,2.1,ppb,2,Chester,20,83,42602,Nitrogen dioxide (NO2),99,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
06-01-2025,AQS,340273001,1,8.1,ppb,8,Chester,24,100,42602,Nitrogen dioxide (NO2),99,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
07-01-2025,AQS,340273001,1,1.8,ppb,1,Chester,24,100,42602,Nitrogen dioxide (NO2),99,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
08-01-2025,AQS,340273001,1,1.7,ppb,1,Chester,24,100,42602,Nitrogen dioxide (NO2),99,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
09-01-2025,AQS,340273001,1,1.9,ppb,1,Chester,24,100,42602,Nitrogen dioxide (NO2),99,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
10-01-2025,AQS,340273001,1,3.1,ppb,3,Chester,24,100,42602,Nitrogen dioxide (NO2),99,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
