Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
13-02-2025,AQS,340030006,1,0.035,ppm,32,Leonia,15,88,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
14-02-2025,AQS,340030006,1,0.04,ppm,37,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
15-02-2025,AQS,340030006,1,0.034,ppm,31,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
16-02-2025,AQS,340030006,1,0.033,ppm,31,Leonia,15,88,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
17-02-2025,AQS,340030006,1,0.037,ppm,34,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
18-02-2025,AQS,340030006,1,0.036,ppm,33,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
19-02-2025,AQS,340030006,1,0.033,ppm,31,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
20-02-2025,AQS,340030006,1,0.027,ppm,25,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
21-02-2025,AQS,340030006,1,0.035,ppm,32,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
22-02-2025,AQS,340030006,1,0.04,ppm,37,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
23-02-2025,AQS,340030006,1,0.042,ppm,39,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
24-02-2025,AQS,340030006,1,0.035,ppm,32,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
25-02-2025,AQS,340030006,1,0.028,ppm,26,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
26-02-2025,AQS,340030006,1,0.042,ppm,39,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
27-02-2025,AQS,340030006,1,0.029,ppm,27,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
28-02-2025,AQS,340030006,1,0.039,ppm,36,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
01-03-2025,AQS,340030006,1,0.038,ppm,35,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
02-03-2025,AQS,340030006,1,0.04,ppm,37,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
03-03-2025,AQS,340030006,1,0.039,ppm,36,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
04-03-2025,AQS,340030006,1,0.031,ppm,29,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
05-03-2025,AQS,340030006,1,0.038,ppm,35,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
06-03-2025,AQS,340030006,1,0.041,ppm,38,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
07-03-2025,AQS,340030006,1,0.044,ppm,41,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
08-03-2025,AQS,340030006,1,0.043,ppm,40,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
09-03-2025,AQS,340030006,1,0.043,ppm,40,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
10-03-2025,AQS,340030006,1,0.044,ppm,41,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
11-03-2025,AQS,340030006,1,0.044,ppm,41,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
12-03-2025,AQS,340030006,1,0.037,ppm,34,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
13-03-2025,AQS,340030006,1,0.042,ppm,39,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
14-03-2025,AQS,340030006,1,0.035,ppm,32,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
15-03-2025,AQS,340030006,1,0.034,ppm,31,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
16-03-2025,AQS,340030006,1,0.035,ppm,32,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
17-03-2025,AQS,340030006,1,0.023,ppm,21,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
18-03-2025,AQS,340030006,1,0.038,ppm,35,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
19-03-2025,AQS,340030006,1,0.03,ppm,28,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
20-03-2025,AQS,340030006,1,0.026,ppm,24,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
24-03-2025,AQS,340030006,1,0.013,ppm,12,Leonia,14,82,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
25-03-2025,AQS,340030006,1,0.043,ppm,40,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
26-03-2025,AQS,340030006,1,0.037,ppm,34,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
27-03-2025,AQS,340030006,1,0.042,ppm,39,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
28-03-2025,AQS,340030006,1,0.043,ppm,40,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
29-03-2025,AQS,340030006,1,0.047,ppm,44,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
30-03-2025,AQS,340030006,1,0.036,ppm,33,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
31-03-2025,AQS,340030006,1,0.024,ppm,22,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
01-04-2025,AQS,340030006,1,0.041,ppm,38,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
02-04-2025,AQS,340030006,1,0.039,ppm,36,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
03-04-2025,AQS,340030006,1,0.021,ppm,19,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
04-04-2025,AQS,340030006,1,0.038,ppm,35,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
05-04-2025,AQS,340030006,1,0.034,ppm,31,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
06-04-2025,AQS,340030006,1,0.037,ppm,34,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
07-04-2025,AQS,340030006,1,0.029,ppm,27,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
08-04-2025,AQS,340030006,1,0.039,ppm,36,Leonia,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.870436,-73.991994
