Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
01-01-2025,AirNow,360050110,1,0.029,ppm,27,IS 52,24,100,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
02-01-2025,AirNow,360050110,1,0.021,ppm,19,IS 52,24,100,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
03-01-2025,AirNow,360050110,1,0.024,ppm,22,IS 52,24,100,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
04-01-2025,AirNow,360050110,1,0.033,ppm,31,IS 52,24,100,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
05-01-2025,AirNow,360050110,1,0.03,ppm,28,IS 52,24,100,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
06-01-2025,AirNow,360050110,1,0.024,ppm,22,IS 52,24,100,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
07-01-2025,AirNow,360050110,1,0.027,ppm,25,IS 52,24,100,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
08-01-2025,AirNow,360050110,1,0.032,ppm,30,IS 52,24,100,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
09-01-2025,AirNow,360050110,1,0.031,ppm,29,IS 52,24,100,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
10-01-2025,AirNow,360050110,1,0.029,ppm,27,IS 52,24,100,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
11-01-2025,AirNow,360050110,1,0.032,ppm,30,IS 52,24,100,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
12-01-2025,AirNow,360050110,1,0.027,ppm,25,IS 52,24,100,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
13-01-2025,AirNow,360050110,1,0.023,ppm,21,IS 52,24,100,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
14-01-2025,AirNow,360050110,1,0.03,ppm,28,IS 52,22,92,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
15-01-2025,AirNow,360050110,1,0.031,ppm,29,IS 52,21,88,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
16-01-2025,AirNow,360050110,1,0.014,ppm,13,IS 52,24,100,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
17-01-2025,AirNow,360050110,1,0.019,ppm,18,IS 52,24,100,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
18-01-2025,AirNow,360050110,1,0.022,ppm,20,IS 52,24,100,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
19-01-2025,AirNow,360050110,1,0.027,ppm,25,IS 52,24,100,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
20-01-2025,AirNow,360050110,1,0.032,ppm,30,IS 52,24,100,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
21-01-2025,AirNow,360050110,1,0.021,ppm,19,IS 52,24,100,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
