Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
01-01-2025,AQS,340273001,1,0.033,ppm,31,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
02-01-2025,AQS,340273001,1,0.025,ppm,23,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
03-01-2025,AQS,340273001,1,0.031,ppm,29,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
04-01-2025,AQS,340273001,1,0.037,ppm,34,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
05-01-2025,AQS,340273001,1,0.035,ppm,32,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
06-01-2025,AQS,340273001,1,0.031,ppm,29,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
07-01-2025,AQS,340273001,1,0.034,ppm,31,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
08-01-2025,AQS,340273001,1,0.037,ppm,34,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
09-01-2025,AQS,340273001,1,0.037,ppm,34,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
10-01-2025,AQS,340273001,1,0.04,ppm,37,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
11-01-2025,AQS,340273001,1,0.041,ppm,38,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
12-01-2025,AQS,340273001,1,0.032,ppm,30,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
13-01-2025,AQS,340273001,1,0.036,ppm,33,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
14-01-2025,AQS,340273001,1,0.036,ppm,33,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
15-01-2025,AQS,340273001,1,0.036,ppm,33,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
16-01-2025,AQS,340273001,1,0.027,ppm,25,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
17-01-2025,AQS,340273001,1,0.026,ppm,24,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
18-01-2025,AQS,340273001,1,0.028,ppm,26,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
19-01-2025,AQS,340273001,1,0.038,ppm,35,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
20-01-2025,AQS,340273001,1,0.039,ppm,36,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
21-01-2025,AQS,340273001,1,0.033,ppm,31,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
