Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
01-01-2025,AQS,340030010,3,4.3,ug/m3 LC,24,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
02-01-2025,AQS,340030010,3,1.2,ug/m3 LC,7,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
03-01-2025,AQS,340030010,3,2.9,ug/m3 LC,16,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
04-01-2025,AQS,340030010,3,0.6,ug/m3 LC,3,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
05-01-2025,AQS,340030010,3,1.3,ug/m3 LC,7,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
06-01-2025,AQS,340030010,3,2.9,ug/m3 LC,16,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
07-01-2025,AQS,340030010,3,1.5,ug/m3 LC,8,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
08-01-2025,AQS,340030010,3,0.3,ug/m3 LC,2,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
09-01-2025,AQS,340030010,3,0.7,ug/m3 LC,4,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
10-01-2025,AQS,340030010,3,1.5,ug/m3 LC,8,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
11-01-2025,AQS,340030010,3,3.4,ug/m3 LC,19,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
12-01-2025,AQS,340030010,3,7.4,ug/m3 LC,41,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
13-01-2025,AQS,340030010,3,11.7,ug/m3 LC,56,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
14-01-2025,AQS,340030010,3,3.3,ug/m3 LC,18,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
