Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
01-01-2025,AQS,360050080,3,9.1,ug/m3 LC,51,MORRISANIA,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,702,PM2.5 SCC w/Correction Factor,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.83606,-73.92009
02-01-2025,AQS,360050080,3,7.4,ug/m3 LC,41,MORRISANIA,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,702,PM2.5 SCC w/Correction Factor,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.83606,-73.92009
03-01-2025,AQS,360050080,3,8.1,ug/m3 LC,45,MORRISANIA,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,702,PM2.5 SCC w/Correction Factor,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.83606,-73.92009
04-01-2025,AQS,360050080,3,7.1,ug/m3 LC,39,MORRISANIA,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,702,PM2.5 SCC w/Correction Factor,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.83606,-73.92009
05-01-2025,AQS,360050080,3,8,ug/m3 LC,44,MORRISANIA,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,702,PM2.5 SCC w/Correction Factor,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.83606,-73.92009
06-01-2025,AQS,360050080,3,7.6,ug/m3 LC,42,MORRISANIA,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,702,PM2.5 SCC w/Correction Factor,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.83606,-73.92009
07-01-2025,AirNow,360050080,3,6.9,ug/m3 LC,38,MORRISANIA,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.83606,-73.92009
08-01-2025,AQS,360050080,3,4.7,ug/m3 LC,26,MORRISANIA,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,702,PM2.5 SCC w/Correction Factor,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.83606,-73.92009
09-01-2025,AQS,360050080,3,6.5,ug/m3 LC,36,MORRISANIA,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,702,PM2.5 SCC w/Correction Factor,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.83606,-73.92009
10-01-2025,AQS,360050080,3,7.8,ug/m3 LC,43,MORRISANIA,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,702,PM2.5 SCC w/Correction Factor,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.83606,-73.92009
11-01-2025,AQS,360050080,3,9.4,ug/m3 LC,52,MORRISANIA,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,702,PM2.5 SCC w/Correction Factor,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.83606,-73.92009
12-01-2025,AQS,360050080,3,11.9,ug/m3 LC,56,MORRISANIA,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,702,PM2.5 SCC w/Correction Factor,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.83606,-73.92009
13-01-2025,AQS,360050080,3,12.4,ug/m3 LC,57,MORRISANIA,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,702,PM2.5 SCC w/Correction Factor,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.83606,-73.92009
14-01-2025,AQS,360050080,3,7.9,ug/m3 LC,44,MORRISANIA,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,702,PM2.5 SCC w/Correction Factor,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.83606,-73.92009
15-01-2025,AQS,360050080,3,7,ug/m3 LC,39,MORRISANIA,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,702,PM2.5 SCC w/Correction Factor,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.83606,-73.92009
16-01-2025,AQS,360050080,3,9.2,ug/m3 LC,51,MORRISANIA,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,702,PM2.5 SCC w/Correction Factor,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.83606,-73.92009
