Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
01-01-2025,AirNow,340273001,3,3.3,ug/m3 LC,18,Chester,1,100,88101,PM2.5 - Local Conditions,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
02-01-2025,AirNow,340273001,3,1.4,ug/m3 LC,8,Chester,1,100,88101,PM2.5 - Local Conditions,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
03-01-2025,AirNow,340273001,3,4,ug/m3 LC,22,Chester,1,100,88101,PM2.5 - Local Conditions,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
04-01-2025,AirNow,340273001,3,-0.5,ug/m3 LC,0,Chester,1,100,88101,PM2.5 - Local Conditions,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
05-01-2025,AirNow,340273001,3,1.4,ug/m3 LC,8,Chester,1,100,88101,PM2.5 - Local Conditions,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
06-01-2025,AirNow,340273001,3,2.4,ug/m3 LC,13,Chester,1,100,88101,PM2.5 - Local Conditions,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
07-01-2025,AirNow,340273001,3,1.1,ug/m3 LC,6,Chester,1,100,88101,PM2.5 - Local Conditions,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
08-01-2025,AirNow,340273001,3,-0.1,ug/m3 LC,0,Chester,1,100,88101,PM2.5 - Local Conditions,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
09-01-2025,AirNow,340273001,3,1.7,ug/m3 LC,9,Chester,1,100,88101,PM2.5 - Local Conditions,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
10-01-2025,AirNow,340273001,3,2.3,ug/m3 LC,13,Chester,1,100,88101,PM2.5 - Local Conditions,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
